Descrição,Lemas,Substantivos,Verbos,Entidades
"A deputada federal Tabata Amaral (PSB-SP) apagou uma publicação em que criticava o uso de dinheiro de casas de apostas para patrocinar as festas juninas em São Paulo. No post, intitulado “Bet é Cultura?”, a parlamentar afirmava que os festejos na capital paul…","deputada, federal, Tabata, Amaral, PSB-SP, apagar, publicação, criticar, uso, dinheiro, casa, aposta, patrocinar, festa, junina, Paulo, post, intitular, Bet, Cultura, parlamentar, afirmar, festejo, capital, paul","deputada, publicação, uso, dinheiro, casas, apostas, festas, juninas, post, ”, parlamentar, festejos, capital","apagou, criticava, patrocinar, intitulado, afirmava","Tabata Amaral (PER), PSB-SP (ORG), São Paulo (LOC), “Bet é (MISC), Cultura? (MISC)"
"O governo arrecadou R$ 3,026 bilhões com a tributação sobre as bets e jogos de azar entre janeiro e maio deste ano, segundo divulgou hoje a Receita Federal. O valor representa um aumento de 40.000% em relação ao mesmo período do ano passado, quando for","governo, arrecadar, R$, 3,026, bilhão, tributação, bet, jogo, azar, janeiro, maio, ano, divulgar, hoje, Receita, Federal, representar, aumento, 40.000, período, ano, passado","governo, tributação, bets, jogos, janeiro, maio, ano, valor, aumento, relação, período, ano","arrecadou, azar, divulgou, representa",Receita Federal (LOC)
"Em publicação, Tabata Amaral criticava patrocínio de bets em SP; cidade de João Campos, Recife também recebe dinheiro de sites de apostas","publicação, Tabata, Amaral, criticar, patrocínio, bets, SP, cidade, João, Campos, Recife, receber, dinheiro, site, aposta","publicação, patrocínio, bets, cidade, dinheiro, sites, apostas","criticava, recebe","Tabata Amaral (PER), SP (LOC), João Campos (LOC), Recife (LOC)"
Governo estuda alternativas após derrota no Congre...,"Governo, estudar, alternativa, derrota, Congre","alternativas, derrota",estuda,Congre (ORG)
Mercado em transição: como as novas regras moldam o futuro das apostas online no Brasil,"Mercado, transição, regra, moldar, futuro, aposta, onlinar, Brasil","Mercado, transição, regras, futuro, apostas","moldam, online",Brasil (LOC)
"Startupi

Febraban alerta para uso de apostas digitais em esquemas financeiros ilícitos
O presidente da Federação Brasileira de Bancos (Febraban), Isaac Sidney, declara que as apostas esportivas online, conhecidas como bets, representam risco crescente para o…","Startupi, 

, Febraban, alertar, uso, aposta, digital, esquemas, financeiro, ilícito, 
, presidente, Federação, Brasileira, Bancos, Febraban, Isaac, Sidney, declarar, aposta, esportiva, online, conhecer, bet, representar, risco, crescente","uso, apostas, esquemas, presidente, apostas, esportivas, bets, risco","alerta, declara, conhecidas, representam","Febraban (LOC), O presidente da Federação Brasileira de Bancos (MISC), Febraban (LOC), Isaac Sidney (PER), bets (LOC)"
"O governo Lula (PT) avalia medidas para reagir à derrubada do decreto que aumentava o IOF (Imposto sobre Operações Financeiras), uma das apostas da equipe econômica para cumprir a meta fiscal de 2025, conforme informações do Metrópoles. O presidente deve se r…","governo, Lula, PT, avaliar, medida, reagir, derrubada, decreto, aumentar, IOF, Imposto, Operações, Financeiras, aposta, equipe, econômico, cumprir, meta, fiscal, 2025, conforme, informação, Metrópoles, presidente, r","governo, medidas, derrubada, decreto, apostas, equipe, meta, informações, presidente","avalia, reagir, aumentava, cumprir, deve","Lula (PER), PT (ORG), IOF (MISC), Operações Financeiras (MISC), Metrópoles (LOC)"
"Saiba tudo sobre a casa Aposta Online Apostas no Brasil. Veja os principais esportes, mercados e ofertas da plataforma hoje.","Saiba, casa, Aposta, Online, Apostas, Brasil, principal, esporte, mercado, oferta, plataforma, hoje","casa, esportes, mercados, ofertas, plataforma","Saiba, Veja","Saiba (LOC), Aposta Online Apostas (MISC), Brasil (LOC)"
"As atribuições e limites das Comissões Parlamentares de Inquérito (CPIs) encontram-se estabelecidas no § 3º do artigo 58 da Constituição, bem como em legislações específicas. Concomitante a isso, recentes precedentes do Supremo Tribunal Federal têm assentado …","atribuição, limite, Comissões, Parlamentares, Inquérito, CPIs, encontrar se, estabelecida, 3º, artigo, 58, constituição, legislação, específico, concomitante, recente, precedente, Supremo, Tribunal, Federal, assentar","atribuições, limites, estabelecidas, artigo, Constituição, legislações, precedentes","encontram-se, assentado","Comissões Parlamentares de Inquérito (MISC), CPIs (ORG), Constituição (ORG), Supremo Tribunal Federal (LOC)"
"""Os riscos para o cenário, no entanto, se mantêm elevados, principalmente em virtude das incertezas associadas às disputas no comércio internacional e ao conflito no Oriente Médio"", afirma o BC no Relatório de Política Monetária","risco, cenário, entanto, manter, elevar, principalmente, virtude, incerteza, associar, disputa, comércio, internacional, conflito, Oriente, Médio, afirmar, BC, Relatório, Política, Monetária","riscos, cenário, entanto, virtude, incertezas, disputas, comércio, conflito","mantêm, elevados, associadas, afirma","Oriente Médio (LOC), BC no Relatório de Política Monetária (MISC)"
"Em questão de horas, Senado e Câmara aprovaram suspensão de decreto do Executivo que aumentava imposto sobre algumas operações financeiras; governo deve buscar alternativas para ajuste fiscal.","hora, senado, Câmara, aprovar, suspensão, decreto, executivo, aumentar, imposto, operação, financeiro, governo, buscar, alternativa, ajuste, fiscal","questão, horas, Senado, suspensão, decreto, Executivo, operações, governo, alternativas, fiscal","aprovaram, aumentava, imposto, deve, buscar","Senado (MISC), Câmara (LOC), Executivo (ORG)"
"Bloqueio imediato de R$ 3 bilhões em emendas está no radar, e judicialização no Supremo Tribunal Federal também é vista como possibilidade","bloqueio, imediato, R$, 3, bilhão, emenda, radar, judicialização, Supremo, Tribunal, Federal, ver, possibilidade","Bloqueio, emendas, judicialização, possibilidade","radar, vista","R$ (MISC), Supremo Tribunal Federal (LOC)"
"O ministro do Tribunal de Contas da União Bruno Dantas fez um alerta sobre os perigos do mau uso de instituições como o Conselho de Controle de Atividades Financeiras (Coaf) e a Receita Federal. Segundo ele, é preciso manter vigilância total para que não seja…","ministro, tribunal, contas, União, Bruno, Dantas, alerta, perigo, mau, uso, instituição, Controle, Atividades, Financeiras, Coaf, Receita, Federal, preciso, manter, vigilância, total, ser","ministro, alerta, perigos, uso, instituições, vigilância","fez, manter","Tribunal de Contas da União Bruno Dantas (ORG), Conselho de Controle de Atividades Financeiras (ORG), Coaf (MISC), Receita Federal (LOC)"
Após a Câmara dos Deputados rejeitar o decreto que elevava o Imposto sobre Operações Financeiras...,"Câmara, Deputados, rejeitar, decreto, elevar, Imposto, Operações, Financeiras",decreto,"rejeitar, elevava","Câmara dos Deputados (LOC), Imposto (MISC), Operações Financeiras... (MISC)"
"Presidente da Câmara dos Deputados, Hugo Motta, pautou de última hora projeto que susta medida do Executivo de aumentar imposto sobre algumas operações financeiras; governo deve buscar alternativas para ajuste fiscal.","presidente, Câmara, Deputados, Hugo, Motta, pautar, último, hora, projeto, susta, medida, executivo, aumentar, imposto, operação, financeiro, governo, buscar, alternativa, ajuste, fiscal","Presidente, hora, medida, Executivo, operações, governo, alternativas, fiscal","pautou, aumentar, imposto, deve, buscar","Presidente da Câmara dos Deputados (MISC), Hugo Motta (PER), Executivo (ORG)"
"O presidente da Febraban, Isaac Sidney, destaca os perigos das apostas online para a lavagem de dinheiro e a necessidade de ação conjunta entre governo e sociedade.","presidente, Febraban, Isaac, Sidney, destacar, perigo, aposta, onlinar, lavagem, dinheiro, necessidade, ação, conjunto, governo, sociedade","presidente, perigos, apostas, lavagem, dinheiro, necessidade, ação, governo, sociedade",destaca,"Febraban (ORG), Isaac Sidney (PER)"
Supremo vai julgar se empresas podem ser obrigadas a deletar conteúdo mesmo sem decisão judicial,"Supremo, julgar, empresa, obrigar, deletar, conteúdo, decisão, judicial","empresas, conteúdo, decisão","julgar, podem, obrigadas, deletar",Supremo (LOC)
"Nesta semana de São João, parte dos parlamentares está fora de Brasília. Mesmo assim, presidente marcou votação do PDL contra aumento do imposto","semana, João, parlamentar, Brasília, presidente, marcar, votação, PDL, aumento, imposto","semana, parte, parlamentares, presidente, votação, aumento, imposto",marcou,"São João (LOC), Brasília (LOC), PDL (MISC)"
"Coaf registra aumento de 766,6% nas comunicações de operações suspeitas entre 2015 e 2024","Coaf, registrar, aumento, 766,6, comunicação, operação, suspeito, 2015, 2024","aumento, comunicações, operações",registra,
"Presidente da entidade aproveitou ainda para criticar algumas fintechs, que segundo ele também não cumprem inteiramente as regras de prevenção à lavagem de dinheiro","presidente, entidade, aproveitar, criticar, fintechs, cumprir, inteiramente, regra, prevenção, lavagem, dinheiro","Presidente, entidade, fintechs, regras, prevenção, lavagem, dinheiro","aproveitou, criticar, cumprem",
"A Justiça Federal de São Paulo determinou nesta quarta-feira, 24, que plataformas de apostas ...","Justiça, Federal, Paulo, determinar, quarta-feira, 24, plataforma, aposta","quarta-feira, plataformas, apostas",determinou,Justiça Federal de São Paulo (LOC)
"Conheça no detalhe o cassino da Aposta Online. Veja como começar a jogar, quais jogos estão disponíveis e se há promoções ativas no catálogo.","Conheça, detalhe, cassino, Aposta, Online, começar, jogar, jogo, disponível, haver, promoção, ativo, catálogo","detalhe, cassino, jogos, promoções, catálogo","Veja, começar, jogar, há",Aposta Online (MISC)
"O Conselho de Controle de Atividades Financeiras (Coaf) recebeu, no ano passado, oito vezes mais comunicações de operações financeiras suspeitas do que em 2015. Os registros de COS (Operações Consideradas Suspeitas) levadas ao órgão, que foram de 296 mil naqu…","Controle, Atividades, Financeiras, Coaf, receber, ano, passado, comunicação, operação, financeiro, suspeito, 2015, registro, COS, Operações, Consideradas, Suspeitas, levar, órgão, 296, naqu","ano, vezes, comunicações, operações, registros, órgão, naqu","recebeu, levadas","Conselho de Controle de Atividades Financeiras (ORG), Coaf (MISC), Operações Consideradas Suspeitas (MISC)"
Decisão liminar atende parcialmente ação que acusa empresas de lucrar com recursos destinados a famílias em situação de vulnerabilidade.,"decisão, liminar, atender, parcialmente, ação, acusar, empresa, lucrar, recurso, destinar, família, situação, vulnerabilidade","Decisão, ação, empresas, recursos, famílias, situação, vulnerabilidade","atende, acusa, lucrar, destinados",
"O Presidente editou 150 medidas provisórias desde 2023, mas apenas 29 viraram leis","presidente, editar, 150, medida, provisório, 2023, 29, virar, lei","Presidente, medidas, leis","editou, viraram",Presidente (MISC)
"Este ano, pela primeira vez, cai na malha fina. O motivo: deixei de declarar um ""prêmio"" de R$ 354,06 apostando em bets. Acontece que nunca fiz apostas ou sequer me cadastrei em alguma casa de apostas.No entanto, sou mãe de um corinthiano que","ano, cair, malha, fino, motivo, deixei, declarar, prêmio, R$, 354,06, apostar, bets, acontecer, fiz, aposta, sequer, cadastr, algum, casa, aposta, entanto, mãe, corinthiano","ano, vez, malha, motivo, prêmio, bets, apostas, casa, apostas, entanto, mãe, corinthiano","cai, deixei, declarar, apostando, Acontece, fiz, cadastrei",R$ (MISC)
"Aprenda a fazer suas apostas no Mundial de Clubes 2025 na Novibet. Dicas, bônus, promoções e ofertas para suas bets na Copa de Clubes","aprenda, aposta, Mundial, Clubes, 2025, Novibet, dica, bônu, promoção, oferta, bet, Copa, Clubes","apostas, Dicas, bônus, promoções, ofertas, bets",fazer,"Mundial de Clubes 2025 (MISC), Novibet (LOC), Dicas (LOC), Copa de Clubes (MISC)"
"Nem zoológico, nem safári! A tarde de segunda-feira (23) foi de emoção selvagem na mansão de ...","zoológico, safári, segunda-feira, 23, emoção, selvagem, mansão","zoológico, safári, tarde, segunda-feira, emoção, mansão",,
"Confira nosso guia completo para fazer suas apostas na Meridianbet. Confira ainda sobre bônus, ofertas e como se cadastrar na plataforma","Confira, guia, completo, aposta, Meridianbet, Confira, bônu, oferta, cadastrar, plataforma","guia, apostas, bônus, ofertas, plataforma","Confira, fazer, Confira, cadastrar","Meridianbet (LOC), Confira (LOC)"
"Diversas casas de apostas estão oferecendo promoções especiais para o Mundial de Clubes. Então, confira as oportunidades especiais.","Diversos, casa, aposta, oferecer, promoção, especial, Mundial, Clubes, confirar, oportunidade, especial","casas, apostas, promoções, oportunidades","oferecendo, confira",Mundial de Clubes (MISC)
"O mercado movimenta cerca de R$ 25 bilhões por mês, sendo até R$ 4 bilhões vindos de beneficiários do Bolsa Família
The post Apostas online: como o desespero financeiro torna os mais pobres as maiores vítimas appeared first on InfoMoney.","mercado, movimentar, cerca, R$, 25, bilhão, ser, R$, 4, bilhão, vinr, beneficiário, Bolsa, Família, 
, The, post, aposta, online, desespero, financeiro, tornar, pobre, grande, vítima, appeared, first, on, InfoMoney","mercado, mês, beneficiários, Apostas, desespero, vítimas","movimenta, sendo, vindos, post, torna","R$ (MISC), R$ (MISC), Bolsa Família (ORG), Apostas online (MISC), InfoMoney (MISC)"
"O ano com maior número de ações contra apostas e jogos de azar foi em 2021, quando o TJDFT recebeu 94 processos com o tema","ano, ação, aposta, jogo, azar, 2021, TJDFT, receber, 94, processo, tema","ano, número, ações, apostas, jogos, processos, tema","azar, recebeu",TJDFT (ORG)
